x,u
0,0.00330401
0.05,0.00274794
0.1,0.00227814
0.15,0.00188261
0.2,0.00155076
0.25,0.00127329
0.3,0.00104209
0.35,0.000850124
0.4,0.000691273
0.45,0.000560281
0.5,0.000452636
0.55,0.000364481
0.6,0.000292538
0.65,0.000234028
0.7,0.000186607
0.75,0.000148307
0.8,0.00011748
0.85,9.27539e-05
0.9,7.29903e-05
0.95,5.72479e-05
1,4.4752e-05
1.05,3.48675e-05
1.1,2.70758e-05
1.15,2.09552e-05
1.2,1.61641e-05
1.25,1.24266e-05
1.3,9.5213e-06
1.35,7.27073e-06
1.4,5.53345e-06
1.45,4.19708e-06
1.5,3.17269e-06
1.55,2.39021e-06
1.6,1.7946e-06
1.65,1.34283e-06
1.7,1.00137e-06
1.75,7.44189e-07
1.8,5.51169e-07
1.85,4.06814e-07
1.9,2.99237e-07
1.95,2.1935e-07
2,1.60237e-07
2.05,1.16651e-07
2.1,8.46265e-08
2.15,6.11813e-08
2.2,4.4078e-08
2.25,3.16455e-08
2.3,2.26405e-08
2.35,1.61414e-08
2.4,1.14677e-08
2.45,8.1187e-09
2.5,5.72756e-09
2.55,4.02646e-09
2.6,2.82062e-09
2.65,1.96893e-09
2.7,1.36954e-09
2.75,9.49251e-10
2.8,6.55605e-10
2.85,4.51187e-10
2.9,3.094e-10
2.95,2.11413e-10
3,1.43942e-10
3.05,9.76527e-11
3.1,6.60116e-11
3.15,4.44623e-11
3.2,2.98398e-11
3.25,1.9954e-11
3.3,1.32951e-11
3.35,8.82629e-12
3.4,5.83829e-12
3.45,3.84779e-12
3.5,2.5267e-12
3.55,1.65314e-12
3.6,1.07764e-12
3.65,6.99915e-13
3.7,4.52921e-13
3.75,2.92012e-13
3.8,1.87576e-13
3.85,1.20047e-13
3.9,7.65448e-14
3.95,4.86264e-14
4,3.07762e-14
4.05,1.94063e-14
4.1,1.21914e-14
4.15,7.6303e-15
4.2,4.7578e-15
4.25,2.95559e-15
4.3,1.82916e-15
4.35,1.12779e-15
4.4,6.92739e-16
4.45,4.23909e-16
4.5,2.58425e-16
4.55,1.56947e-16
4.6,9.49567e-17
4.65,5.72333e-17
4.7,3.43653e-17
4.75,2.05559e-17
4.8,1.22489e-17
4.85,7.271e-18
4.9,4.29962e-18
4.95,2.53279e-18
5,1.48628e-18
5.05,8.68823e-19
5.1,5.05926e-19
5.15,2.93472e-19
5.2,1.69576e-19
5.25,9.76074e-20
5.3,5.59648e-20
5.35,3.19639e-20
5.4,1.8185e-20
5.45,1.03056e-20
5.5,5.81753e-21
5.55,3.27118e-21
5.6,1.83219e-21
5.65,1.02219e-21
5.7,5.68047e-22
5.75,3.14434e-22
5.8,1.73365e-22
5.85,9.52093e-23
5.9,5.20811e-23
5.95,2.83766e-23
6,1.53999e-23
6.05,8.32434e-24
6.1,4.48181e-24
6.15,2.40341e-24
6.2,1.28371e-24
6.25,6.82922e-25
6.3,3.61857e-25
6.35,1.90968e-25
6.4,1.00379e-25
6.45,5.25503e-26
6.5,2.74006e-26
6.55,1.42297e-26
6.6,7.35993e-27
6.65,3.79137e-27
6.7,1.94518e-27
6.75,9.93943e-28
6.8,5.05823e-28
6.85,2.56371e-28
6.9,1.29411e-28
6.95,6.50578e-29
7,3.25727e-29
7.05,1.62417e-29
7.1,8.06546e-30
7.15,3.98882e-30
7.2,1.96461e-30
7.25,9.63653e-31
7.3,4.70734e-31
7.35,2.29002e-31
7.4,1.10945e-31
7.45,5.35278e-32
7.5,2.57189e-32
7.55,1.23062e-32
7.6,5.86395e-33
7.65,2.7826e-33
7.7,1.31493e-33
7.75,6.18789e-34
7.8,2.89981e-34
7.85,1.35325e-34
7.9,6.28885e-35
7.95,2.91033e-35
8,1.34119e-35
8.05,6.15478e-36
8.1,2.81259e-36
8.15,1.27989e-36
8.2,5.79968e-37
8.25,2.61701e-37
8.3,1.17592e-37
8.35,5.26239e-38
8.4,2.34616e-38
8.45,1.04501e-38
8.5,4.6836e-39
8.55,2.23069e-39
8.6,1.25708e-39
8.65,1.24545e-39
8.7,1.70213e-39
8.75,3.57342e-39
8.8,6.3302e-39
8.85,1.42063e-38
8.9,2.57377e-38
8.95,5.72769e-38
9,1.04619e-37
9.05,2.30101e-37
9.1,4.23339e-37
9.15,9.20409e-37
9.2,1.7049e-36
9.25,3.66565e-36
9.3,6.83268e-36
9.35,1.45344e-35
9.4,2.72453e-35
9.45,5.7366e-35
9.5,1.08069e-34
9.55,2.25333e-34
9.6,4.26277e-34
9.65,8.80612e-34
9.7,1.67158e-33
9.75,3.42284e-33
9.8,6.51409e-33
9.85,1.32272e-32
