x,u
0,0.00078279
0.05,0.000619904
0.1,0.000489017
0.15,0.000384275
0.2,0.000300801
0.25,0.000234549
0.3,0.000182181
0.35,0.000140958
0.4,0.00010864
0.45,8.34072e-05
0.5,6.37866e-05
0.55,4.85922e-05
0.6,3.68734e-05
0.65,2.78721e-05
0.7,2.09863e-05
0.75,1.57401e-05
0.8,1.17594e-05
0.85,8.75125e-06
0.9,6.48722e-06
0.95,4.79016e-06
1,3.52326e-06
1.05,2.58131e-06
1.1,1.8838e-06
1.15,1.3694e-06
1.2,9.91572e-07
1.25,7.1518e-07
1.3,5.1381e-07
1.35,3.67693e-07
1.4,2.62097e-07
1.45,1.86094e-07
1.5,1.31612e-07
1.55,9.27147e-08
1.6,6.50568e-08
1.65,4.54701e-08
1.7,3.16554e-08
1.75,2.19512e-08
1.8,1.51619e-08
1.85,1.04312e-08
1.9,7.14823e-09
1.95,4.87918e-09
2,3.31725e-09
2.05,2.24641e-09
2.1,1.51524e-09
2.15,1.01801e-09
2.2,6.81244e-10
2.25,4.54077e-10
2.3,3.01462e-10
2.35,1.99348e-10
2.4,1.313e-10
2.45,8.61369e-11
2.5,5.62843e-11
2.55,3.66316e-11
2.6,2.37463e-11
2.65,1.53322e-11
2.7,9.86008e-12
2.75,6.31574e-12
2.8,4.02934e-12
2.85,2.5604e-12
2.9,1.62049e-12
2.95,1.02153e-12
3,6.41377e-13
3.05,4.01087e-13
3.1,2.49818e-13
3.15,1.54977e-13
3.2,9.57569e-14
3.25,5.89291e-14
3.3,3.61197e-14
3.35,2.20503e-14
3.4,1.34072e-14
3.45,8.11925e-15
3.5,4.89717e-15
3.55,2.94188e-15
3.6,1.76017e-15
3.65,1.0489e-15
3.7,6.22529e-16
3.75,3.67988e-16
3.8,2.16647e-16
3.85,1.27033e-16
3.9,7.41865e-17
3.95,4.31495e-17
4,2.49959e-17
4.05,1.44212e-17
4.1,8.28657e-18
4.15,4.74227e-18
4.2,2.70294e-18
4.25,1.53434e-18
4.3,8.6745e-19
4.35,4.88429e-19
4.4,2.739e-19
4.45,1.52973e-19
4.5,8.50884e-20
4.55,4.71363e-20
4.6,2.60059e-20
4.65,1.42894e-20
4.7,7.81963e-21
4.75,4.26172e-21
4.8,2.31317e-21
4.85,1.25042e-21
4.9,6.73176e-22
4.95,3.6093e-22
5,1.92726e-22
5.05,1.02489e-22
5.1,5.42791e-23
5.15,2.86291e-23
5.2,1.50383e-23
5.25,7.86699e-24
5.3,4.09858e-24
5.35,2.12653e-24
5.4,1.09882e-24
5.45,5.65444e-25
5.5,2.89779e-25
5.55,1.47895e-25
5.6,7.51709e-26
5.65,3.805e-26
5.7,1.91808e-26
5.75,9.62912e-27
5.8,4.81406e-27
5.85,2.39685e-27
5.9,1.18843e-27
5.95,5.86824e-28
6,2.88565e-28
6.05,1.41313e-28
6.1,6.89156e-29
6.15,3.34698e-29
6.2,1.61877e-29
6.25,7.79676e-30
6.3,3.73972e-30
6.35,1.78631e-30
6.4,8.49709e-31
6.45,4.02508e-31
6.5,1.89877e-31
6.55,8.91987e-32
6.6,4.17287e-32
6.65,1.94402e-32
6.7,9.01888e-33
6.75,4.1667e-33
6.8,1.91698e-33
6.85,8.78266e-34
6.9,4.007e-34
6.95,1.82052e-34
7,8.23667e-35
7.05,3.71099e-35
7.1,1.66497e-35
7.15,7.4388e-36
7.2,3.30961e-36
7.25,1.46631e-36
7.3,6.46923e-37
7.35,2.84219e-37
7.4,1.24345e-37
7.45,5.41721e-38
7.5,2.35014e-38
7.55,1.01528e-38
7.6,4.36761e-39
7.65,1.87099e-39
7.7,7.98121e-40
7.75,3.39025e-40
7.8,1.43404e-40
7.85,6.04026e-41
7.9,2.53346e-41
7.95,1.05812e-41
8,4.40066e-42
8.05,1.82248e-42
8.1,7.51564e-43
8.15,3.08624e-43
8.2,1.26198e-43
8.25,5.13842e-44
8.3,2.08336e-44
8.35,8.41114e-45
8.4,3.38142e-45
8.45,1.35362e-45
8.5,5.3957e-46
8.55,2.14165e-46
8.6,8.4645e-47
8.65,3.33122e-47
8.7,1.30543e-47
8.75,5.0939e-48
8.8,1.97922e-48
8.85,7.65746e-49
8.9,2.94998e-49
8.95,1.13161e-49
9,4.32234e-50
9.05,1.64393e-50
9.1,6.22567e-51
9.15,2.34763e-51
9.2,8.81482e-52
9.25,3.2956e-52
