x,u
13.6,0.00246628
13.65,0.000336024
13.7,-0.00204555
13.75,-0.00249135
13.8,-0.00055261
13.85,0.00194962
13.9,0.00257837
13.95,0.000609477
14,-0.0022027
14.05,-0.00322524
14.1,-0.00144936
14.15,0.00148523
14.2,0.00277401
14.25,0.00109456
14.3,-0.00207546
14.35,-0.00376364
14.4,-0.00227396
14.45,0.00114946
14.5,0.00336922
14.55,0.00222242
14.6,-0.00140429
14.65,-0.00424991
14.7,-0.00358433
14.75,0.000241795
14.8,0.00394884
14.85,0.00415402
14.9,0.000429291
14.95,-0.00414313
15,-0.00551818
15.05,-0.00221502
15.1,0.00323206
15.15,0.00624851
15.2,0.00405245
15.25,-0.00186313
15.3,-0.00675629
15.35,-0.00643576
15.4,-0.000770088
15.45,0.00599092
15.5,0.00844132
15.55,0.00429823
15.6,-0.00363512
15.65,-0.00941651
15.7,-0.00840405
15.75,-0.000856623
15.8,0.00802431
15.85,0.0117115
15.9,0.00706467
15.95,-0.00321883
16,-0.0122043
16.05,-0.0133633
16.1,-0.00515802
16.15,0.00756265
16.2,0.016434
16.25,0.0149945
16.3,0.00317942
16.35,-0.0121389
16.4,-0.0211524
16.45,-0.0173094
16.5,-0.00180051
16.55,0.0166398
16.6,0.0267129
16.65,0.0213892
16.7,0.00244203
16.75,-0.020111
16.8,-0.033416
16.85,-0.0289759
16.9,-0.00761167
16.95,0.0205119
17,0.0408252
17.05,0.0417417
17.1,0.0207941
17.15,-0.0135534
17.2,-0.0454256
17.25,-0.0588375
17.3,-0.0453755
17.35,-0.00860175
17.4,0.0369458
17.45,0.0717357
17.5,0.0795109
17.55,0.0542468
17.6,0.00297251
17.65,-0.0565187
17.7,-0.102038
17.75,-0.115018
17.8,-0.087308
17.85,-0.0243839
17.9,0.0560669
17.95,0.129606
18,0.172563
18.05,0.169082
18.1,0.115586
18.15,0.0216504
18.2,-0.0925697
18.25,-0.20134
18.3,-0.279357
18.35,-0.307229
18.4,-0.275172
18.45,-0.184224
18.5,-0.0450547
18.55,0.12492
18.6,0.305185
18.65,0.475696
18.7,0.619809
18.75,0.72618
18.8,0.789472
18.85,0.809931
18.9,0.792185
18.95,0.743715
19,0.673376
19.05,0.590121
19.1,0.501987
19.15,0.41543
19.2,0.335067
19.25,0.263768
19.3,0.202944
19.35,0.152856
19.4,0.112907
19.45,0.0819526
19.5,0.0586149
19.55,0.0415273
19.6,0.0294399
19.65,0.0212401
19.7,0.0159749
19.75,0.0128991
19.8,0.0114929
19.85,0.0114094
19.9,0.0123981
19.95,0.0142789
20,0.0169642
20.05,0.0204648
20.1,0.0248421
20.15,0.0301583
20.2,0.036477
20.25,0.0439007
20.3,0.0525768
20.35,0.0626588
20.4,0.0742731
20.45,0.0875341
20.5,0.102578
20.55,0.119559
20.6,0.138609
20.65,0.159812
20.7,0.183233
20.75,0.208937
20.8,0.236972
20.85,0.267334
20.9,0.299955
20.95,0.334736
21,0.371555
21.05,0.410244
21.1,0.450567
21.15,0.492226
21.2,0.534891
21.25,0.578208
21.3,0.621777
21.35,0.665143
21.4,0.707821
21.45,0.749329
21.5,0.789184
21.55,0.826892
21.6,0.861951
21.65,0.893891
21.7,0.922289
21.75,0.946766
21.8,0.966975
21.85,0.98262
21.9,0.993485
21.95,0.999437
22,1.00041
22.05,0.996379
22.1,0.987428
22.15,0.973706
22.2,0.955439
22.25,0.932901
22.3,0.906415
22.35,0.876363
22.4,0.843175
22.45,0.807301
22.5,0.769201
22.55,0.729346
22.6,0.688217
22.65,0.646288
22.7,0.604005
22.75,0.561783
22.8,0.520015
22.85,0.479064
22.9,0.43925
22.95,0.400837
23,0.364051
23.05,0.329085
23.1,0.296086
23.15,0.265151
23.2,0.236334
23.25,0.209665
23.3,0.185145
23.35,0.162739
23.4,0.142381
23.45,0.123991
23.5,0.107481
23.55,0.092746
23.6,0.0796648
23.65,0.0681129
23.7,0.0579698
23.75,0.0491158
23.8,0.0414275
23.85,0.0347825
23.9,0.0290691
23.95,0.0241863
24,0.0200363
24.05,0.0165232
24.1,0.013562
24.15,0.011082
24.2,0.00901855
24.25,0.00730694
24.3,0.0058908
