x,u
0,0
0.05,3.96545e-05
0.1,0.000194804
0.15,0.00079841
0.2,0.0028702
0.25,0.0091314
0.3,0.0255057
0.35,0.0610243
0.4,0.119384
0.45,0.178314
0.5,0.205466
0.55,0.178314
0.6,0.119384
0.65,0.0610243
0.7,0.0255057
0.75,0.0091314
0.8,0.0028702
0.85,0.00079841
0.9,0.000194804
0.95,3.96545e-05
1,0
