x,u
0,0.000133441
0.05,0.000100062
0.1,7.47001e-05
0.15,5.55202e-05
0.2,4.10829e-05
0.25,3.02657e-05
0.3,2.21986e-05
0.35,1.621e-05
0.4,1.1785e-05
0.45,8.53031e-06
0.5,6.14739e-06
0.55,4.41072e-06
0.6,3.15081e-06
0.65,2.24095e-06
0.7,1.58686e-06
0.75,1.11879e-06
0.8,7.85337e-07
0.85,5.48868e-07
0.9,3.81932e-07
0.95,2.64612e-07
1,1.82533e-07
1.05,1.25367e-07
1.1,8.57306e-08
1.15,5.83716e-08
1.2,3.95714e-08
1.25,2.67102e-08
1.3,1.79511e-08
1.35,1.20122e-08
1.4,8.00338e-09
1.45,5.30941e-09
1.5,3.50705e-09
1.55,2.30655e-09
1.6,1.51045e-09
1.65,9.84871e-10
1.7,6.39409e-10
1.75,4.13341e-10
1.8,2.66053e-10
1.85,1.70513e-10
1.9,1.08813e-10
1.95,6.91417e-11
2,4.37455e-11
2.05,2.75589e-11
2.1,1.72873e-11
2.15,1.07977e-11
2.2,6.71548e-12
2.25,4.15874e-12
2.3,2.56441e-12
2.35,1.57455e-12
2.4,9.62651e-13
2.45,5.86037e-13
2.5,3.55244e-13
2.55,2.14425e-13
2.6,1.28876e-13
2.65,7.71284e-14
2.7,4.59629e-14
2.75,2.72741e-14
2.8,1.61155e-14
2.85,9.48174e-15
2.9,5.55501e-15
2.95,3.24068e-15
3,1.88252e-15
3.05,1.08893e-15
3.1,6.27211e-16
3.15,3.59736e-16
3.2,2.05453e-16
3.25,1.16842e-16
3.3,6.61669e-17
3.35,3.73116e-17
3.4,2.0951e-17
3.45,1.17146e-17
3.5,6.52246e-18
3.55,3.61624e-18
3.6,1.99648e-18
3.65,1.09757e-18
3.7,6.00852e-19
3.75,3.2754e-19
3.8,1.77798e-19
3.85,9.61066e-20
3.9,5.17304e-20
3.95,2.77271e-20
4,1.47989e-20
4.05,7.86539e-21
4.1,4.16274e-21
4.15,2.19385e-21
4.2,1.15134e-21
4.25,6.01682e-22
4.3,3.13113e-22
4.35,1.62257e-22
4.4,8.37295e-23
4.45,4.30252e-23
4.5,2.2016e-23
4.55,1.12182e-23
4.6,5.69222e-24
4.65,2.87615e-24
4.7,1.44715e-24
4.75,7.25085e-25
4.8,3.61773e-25
4.85,1.79745e-25
4.9,8.89308e-26
4.95,4.38147e-26
5,2.14963e-26
5.05,1.05022e-26
5.1,5.10941e-27
5.15,2.47535e-27
5.2,1.1942e-27
5.25,5.73714e-28
5.3,2.74465e-28
5.35,1.30754e-28
5.4,6.20297e-29
5.45,2.93035e-29
5.5,1.37853e-29
5.55,6.45787e-30
5.6,3.01258e-30
5.65,1.39947e-30
5.7,6.47393e-31
5.75,2.98228e-31
5.8,1.36806e-31
5.85,6.24943e-32
5.9,2.84284e-32
5.95,1.28778e-32
6,5.80911e-33
6.05,2.60948e-33
6.1,1.16729e-33
6.15,5.19969e-34
6.2,2.30651e-34
6.25,1.01885e-34
6.3,4.48174e-35
6.35,1.96317e-35
6.4,8.56345e-36
6.45,3.71978e-36
6.5,1.60903e-36
6.55,6.93087e-37
6.6,2.97297e-37
6.65,1.2699e-37
6.7,5.40168e-38
6.75,2.28805e-38
6.8,9.65116e-39
6.85,4.05389e-39
6.9,1.69567e-39
6.95,7.06301e-40
7,2.92965e-40
7.05,1.21009e-40
7.1,4.97736e-41
7.15,2.03872e-41
7.2,8.3156e-42
7.25,3.37759e-42
7.3,1.36614e-42
7.35,5.50256e-43
7.4,2.20708e-43
7.45,8.81535e-44
7.5,3.50429e-44
7.55,1.38566e-44
7.6,5.52005e-45
7.65,2.3313e-45
7.7,8.75144e-46
7.75,-3.92568e-46
7.8,-8.87299e-46
7.85,1.82524e-45
7.9,6.40772e-45
7.95,5.10717e-46
8,-2.56495e-44
8.05,-3.38571e-44
8.1,6.2186e-44
8.15,2.14758e-43
8.2,1.96256e-44
8.25,-8.3455e-43
8.3,-1.1359e-42
8.35,1.85661e-42
8.4,6.84422e-42
8.45,1.52194e-42
8.5,-2.46758e-41
8.55,-3.78462e-41
8.6,4.57581e-41
8.65,2.04611e-40
8.7,9.41566e-41
8.75,-6.50415e-40
8.8,-1.21432e-39
8.85,8.2196e-40
8.9,5.61436e-39
8.95,4.47254e-39
9,-1.46467e-38
9.05,-3.6122e-38
9.1,4.35285e-39
9.15,1.36569e-37
9.2,1.70791e-37
9.25,-2.54264e-37
9.3,-9.57085e-37
9.35,-4.2321e-37
9.4,2.77719e-36
9.45,5.3453e-36
9.5,-2.18006e-36
9.55,-2.15272e-35
9.6,-2.28309e-35
9.65,4.12538e-35
9.7,1.36107e-34
9.75,5.46189e-35
9.8,-3.7899e-34
9.85,-7.26727e-34
9.9,2.10984e-34
9.95,2.70604e-33
10,3.23932e-33
10.05,-4.11726e-33
10.1,-1.65614e-32
10.15,-1.10384e-32
10.2,3.69959e-32
10.25,9.0178e-32
10.3,1.62804e-32
10.35,-2.61723e-31
10.4,-4.43802e-31
10.45,1.55056e-31
10.5,1.62377e-30
10.55,1.977e-30
10.6,-2.03959e-30
10.65,-9.23091e-30
10.7,-7.82137e-30
10.75,1.64029e-29
10.8,4.91777e-29
10.85,2.5506e-29
10.9,-1.10669e-28
10.95,-2.48154e-28
11,-4.67826e-29
11.05,6.78969e-28
11.1,1.18619e-27
11.15,-2.2342e-28
11.2,-3.9087e-27
11.25,-5.30058e-27
11.3,3.6408e-27
11.35,2.13681e-26
11.4,2.13419e-26
11.45,-3.17698e-26
11.5,-1.1106e-25
11.55,-6.9821e-26
11.6,2.29073e-25
11.65,5.45271e-25
11.7,1.07667e-25
11.75,-1.49021e-24
11.8,-2.49331e-24
11.85,9.30691e-25
11.9,9.03352e-24
11.95,1.03338e-23
12,-1.30139e-23
12.05,-5.18525e-23
12.1,-3.65267e-23
12.15,1.09721e-22
12.2,2.84831e-22
12.25,8.98003e-23
12.3,-7.72778e-22
12.35,-1.511e-21
12.4,5.92292e-23
12.45,4.92125e-21
12.5,7.81317e-21
12.55,-2.80116e-21
12.6,-2.92693e-20
12.65,-3.97694e-20
12.7,2.5004e-20
12.75,1.65299e-19
12.8,2.0124e-19
12.85,-1.66243e-19
12.9,-8.94762e-19
12.95,-1.02081e-18
13,9.44736e-19
13.05,4.6658e-18
13.1,5.2155e-18
13.15,-4.75865e-18
13.2,-2.3482e-17
13.25,-2.6828e-17
13.3,2.12486e-17
13.35,1.13945e-16
13.4,1.38148e-16
13.45,-8.12107e-17
13.5,-5.30974e-16
13.55,-7.05299e-16
13.6,2.33569e-16
13.65,2.35828e-15
13.7,3.52816e-15
13.75,-1.74233e-16
13.8,-9.85928e-15
13.85,-1.70751e-14
13.9,-4.10527e-15
13.95,3.79965e-14
14,7.88897e-14
14.05,4.20369e-14
14.1,-1.29795e-13
14.15,-3.42787e-13
14.2,-2.85822e-13
14.25,3.57706e-13
14.3,1.37434e-12
14.35,1.5983e-12
14.4,-5.27483e-13
14.45,-4.93899e-12
14.5,-7.73888e-12
14.55,-2.07635e-12
14.6,1.50501e-11
14.65,3.2759e-11
14.7,2.42855e-11
14.75,-3.33336e-11
14.8,-1.19441e-10
14.85,-1.4337e-10
14.9,1.26508e-11
14.95,3.56929e-10
15,6.38143e-10
15.05,3.77137e-10
15.1,-7.45131e-10
15.15,-2.25457e-09
15.2,-2.57661e-09
15.25,1.60619e-10
15.3,6.009e-09
15.35,1.10421e-08
15.4,7.86411e-09
15.45,-8.96023e-09
15.5,-3.40156e-08
15.55,-4.58733e-08
15.6,-1.57025e-08
15.65,6.6466e-08
15.7,1.60608e-07
15.75,1.7144e-07
15.8,2.17052e-11
15.85,-3.50518e-07
15.9,-6.79097e-07
15.95,-6.11937e-07
16,1.67937e-07
16.05,1.54164e-06
16.1,2.67835e-06
16.15,2.22399e-06
16.2,-8.38758e-07
16.25,-5.92784e-06
16.3,-1.0054e-05
16.35,-8.56853e-06
16.4,2.00153e-06
16.45,1.995e-05
16.5,3.58085e-05
16.55,3.43991e-05
16.6,3.10564e-06
16.65,-5.60238e-05
16.7,-0.000117335
16.75,-0.000134783
16.8,-6.26917e-05
16.85,0.000110293
16.9,0.000330467
16.95,0.00047506
17,0.000393082
17.05,-1.11728e-05
17.1,-0.000683162
17.15,-0.00136575
17.2,-0.00164339
17.25,-0.00110367
17.3,0.000422109
17.35,0.00263907
17.4,0.00471919
17.45,0.005482
17.5,0.00383337
17.55,-0.000656493
17.6,-0.00726303
17.65,-0.0139633
17.7,-0.0178163
17.75,-0.0158653
17.8,-0.00633873
17.85,0.0102516
17.9,0.0305627
17.95,0.0487526
18,0.0577596
18.05,0.0512708
18.1,0.0258535
18.15,-0.017393
18.2,-0.0722174
18.25,-0.12791
18.3,-0.171223
18.35,-0.189068
18.4,-0.17135
18.45,-0.113219
18.5,-0.0162402
18.55,0.111777
18.6,0.258175
18.65,0.407697
18.7,0.54505
18.75,0.65724
18.8,0.735258
18.85,0.774889
18.9,0.776633
18.95,0.744914
19,0.686837
19.05,0.610808
19.1,0.52526
19.15,0.437676
19.2,0.353973
19.25,0.278262
19.3,0.212898
19.35,0.158743
19.4,0.115529
19.45,0.0822374
19.5,0.0574534
19.55,0.0396332
19.6,0.027298
19.65,0.0191486
19.7,0.0141177
19.75,0.0113784
19.8,0.0103248
19.85,0.0105388
