x,u
0,8.92445e-05
0.05,3.08023e-05
0.1,4.79375e-05
0.15,6.96399e-05
0.2,2.52386e-05
0.25,-1.65935e-05
0.3,1.30242e-05
0.35,4.40554e-05
0.4,6.58769e-06
0.45,-3.01193e-05
0.5,3.26595e-06
0.55,3.70517e-05
0.6,1.58704e-06
0.65,-3.36713e-05
0.7,7.55882e-07
0.75,3.52871e-05
0.8,3.52886e-07
0.85,-3.453e-05
0.9,1.61464e-07
0.95,3.48778e-05
1,7.24259e-08
1.05,-3.47212e-05
1.1,3.18298e-08
1.15,3.47903e-05
1.2,1.37238e-08
1.25,-3.47604e-05
1.3,5.78728e-09
1.35,3.47731e-05
1.4,2.40441e-09
1.45,-3.47678e-05
1.5,9.66917e-10
1.55,3.477e-05
1.6,3.93159e-10
1.65,-3.47691e-05
1.7,1.4469e-10
1.75,3.47694e-05
1.8,6.38033e-11
1.85,-3.47693e-05
1.9,1.54208e-11
1.95,3.47694e-05
2,1.40884e-11
2.05,-3.47693e-05
2.1,-3.314e-12
2.15,3.47694e-05
2.2,7.17023e-12
2.25,-3.47693e-05
2.3,-5.81733e-12
2.35,3.47693e-05
2.4,6.2826e-12
2.45,-3.47693e-05
2.5,-6.12575e-12
2.55,3.47693e-05
2.6,6.17758e-12
2.65,-3.47693e-05
2.7,-6.16079e-12
2.75,3.47693e-05
2.8,6.16612e-12
2.85,-3.47693e-05
2.9,-6.16446e-12
2.95,3.47693e-05
3,6.16496e-12
3.05,-3.47693e-05
3.1,-6.16481e-12
3.15,3.47693e-05
3.2,6.16486e-12
3.25,-3.47693e-05
3.3,-6.16484e-12
3.35,3.47693e-05
3.4,6.16485e-12
3.45,-3.47693e-05
3.5,-6.16485e-12
3.55,3.47693e-05
3.6,6.16485e-12
3.65,-3.47693e-05
3.7,-6.16485e-12
3.75,3.47693e-05
3.8,6.16485e-12
3.85,-3.47693e-05
3.9,-6.16485e-12
3.95,3.47693e-05
4,6.16485e-12
4.05,-3.47693e-05
4.1,-6.16485e-12
4.15,3.47693e-05
4.2,6.16485e-12
4.25,-3.47693e-05
4.3,-6.16485e-12
4.35,3.47693e-05
4.4,6.16485e-12
4.45,-3.47693e-05
4.5,-6.16485e-12
4.55,3.47693e-05
4.6,6.16485e-12
4.65,-3.47693e-05
4.7,-6.16485e-12
4.75,3.47693e-05
4.8,6.16485e-12
4.85,-3.47693e-05
4.9,-6.16485e-12
4.95,3.47693e-05
5,6.16485e-12
5.05,-3.47693e-05
5.1,-6.16485e-12
5.15,3.47693e-05
5.2,6.16485e-12
5.25,-3.47693e-05
5.3,-6.16485e-12
5.35,3.47693e-05
5.4,6.16485e-12
5.45,-3.47693e-05
5.5,-6.16485e-12
5.55,3.47693e-05
5.6,6.16485e-12
5.65,-3.47693e-05
5.7,-6.16485e-12
5.75,3.47693e-05
5.8,6.16485e-12
5.85,-3.47693e-05
5.9,-6.16485e-12
5.95,3.47693e-05
6,6.16485e-12
6.05,-3.47693e-05
6.1,-6.16485e-12
6.15,3.47693e-05
6.2,6.16485e-12
6.25,-3.47693e-05
6.3,-6.16485e-12
6.35,3.47693e-05
6.4,6.16485e-12
6.45,-3.47693e-05
6.5,-6.16485e-12
6.55,3.47693e-05
6.6,6.16485e-12
6.65,-3.47693e-05
6.7,-6.16485e-12
6.75,3.47693e-05
6.8,6.16485e-12
