x,u
0,0
0.05,-10
0.1,55
0.15,-210
0.2,615
0.25,-1452
0.3,2850
0.35,-4740
0.4,6765
0.45,-8350
0.5,8953
0.55,-8350
0.6,6765
0.65,-4740
0.7,2850
0.75,-1452
0.8,615
0.85,-210
0.9,55
0.95,-10
1,0
