x,u
0,5.97294e-05
0.05,4.03386e-05
0.1,2.84955e-05
0.15,2.01478e-05
0.2,1.41728e-05
0.25,9.91076e-06
0.3,6.88848e-06
0.35,4.75868e-06
0.4,3.26727e-06
0.45,2.2295e-06
0.5,1.51195e-06
0.55,1.01899e-06
0.6,6.82468e-07
0.65,4.54222e-07
0.7,3.00409e-07
0.75,1.97424e-07
0.8,1.2892e-07
0.85,8.36475e-08
0.9,5.39247e-08
0.95,3.45388e-08
1,2.19784e-08
1.05,1.38943e-08
1.1,8.72601e-09
1.15,5.44394e-09
1.2,3.37374e-09
1.25,2.0768e-09
1.3,1.26982e-09
1.35,7.7114e-10
1.4,4.65104e-10
1.45,2.78593e-10
1.5,1.6572e-10
1.55,9.78902e-11
1.6,5.7417e-11
1.65,3.34392e-11
1.7,1.93357e-11
1.75,1.11001e-11
1.8,6.32599e-12
1.85,3.57881e-12
1.9,2.00968e-12
1.95,1.12011e-12
2,6.19601e-13
2.05,3.40129e-13
2.1,1.85276e-13
2.15,1.0014e-13
2.2,5.36982e-14
2.25,2.85653e-14
2.3,1.50729e-14
2.35,7.88851e-15
2.4,4.09432e-15
2.45,2.10714e-15
2.5,1.07514e-15
2.55,5.43802e-16
2.6,2.72643e-16
2.65,1.35471e-16
2.7,6.66841e-17
2.75,3.25073e-17
2.8,1.56973e-17
2.85,7.51166e-18
2.9,3.55852e-18
2.95,1.66431e-18
3,7.68488e-19
3.05,3.52912e-19
3.1,1.61787e-19
3.15,7.24261e-20
3.2,3.07343e-20
3.25,1.29698e-20
3.3,6.22528e-21
3.35,3.12685e-21
3.4,1.06038e-21
3.45,4.33346e-24
3.5,-5.53233e-24
3.55,3.09574e-22
3.6,2.33137e-22
3.65,-1.13297e-22
3.7,-1.7707e-22
3.75,5.11358e-23
3.8,1.31895e-22
3.85,-1.34323e-23
3.9,-8.55071e-23
3.95,-1.88691e-24
4,5.07855e-23
4.05,6.36869e-24
4.1,-2.80111e-23
4.15,-6.38652e-24
4.2,1.4466e-23
4.25,5.20358e-24
4.3,-7.1794e-24
4.35,-4.02781e-24
4.4,3.72644e-24
4.45,3.00371e-24
4.5,-2.30561e-24
4.55,-2.06236e-24
4.6,1.74969e-24
4.65,1.1976e-24
4.7,-1.42207e-24
4.75,-4.86212e-25
4.8,1.07639e-24
4.85,7.80674e-27
4.9,-7.00652e-25
4.95,2.26696e-25
5,3.6166e-25
5.05,-2.69086e-25
5.1,-1.19345e-25
5.15,2.03625e-25
5.2,-8.48499e-27
5.25,-1.12088e-25
5.3,4.78217e-26
5.35,4.35927e-26
5.4,-4.32263e-26
5.45,-7.48481e-27
5.5,2.72456e-26
5.55,-6.54508e-27
5.6,-1.31558e-26
5.65,9.28515e-27
5.7,3.899e-27
5.75,-7.24544e-27
5.8,8.60403e-28
5.85,3.97957e-27
5.9,-2.38935e-27
5.95,-1.23681e-27
6,2.07934e-27
6.05,-3.92047e-28
6.1,-1.00366e-27
6.15,8.4189e-28
6.2,2.3008e-29
6.25,-4.75193e-28
6.3,3.20915e-28
6.35,1.0872e-29
6.4,-1.68672e-28
6.45,1.23884e-28
6.5,-1.44054e-29
6.55,-4.86684e-29
6.6,4.44896e-29
6.65,-9.9156e-30
6.7,-1.42991e-29
6.75,1.45242e-29
6.8,-2.1849e-30
6.85,-6.50855e-30
6.9,5.88711e-30
6.95,-6.27056e-31
7,-3.01938e-30
7.05,3.09166e-30
7.1,-1.27223e-30
7.15,-3.66765e-31
7.2,1.06747e-30
7.25,-1.04233e-30
7.3,6.61531e-31
7.35,-1.66788e-31
7.4,-2.52698e-31
7.45,4.41532e-31
7.5,-3.66893e-31
7.55,1.4376e-31
7.6,6.20594e-32
7.65,-1.51751e-31
7.7,1.29963e-31
7.75,-5.93147e-32
7.8,-2.23909e-33
7.85,3.12233e-32
7.9,-3.26371e-32
7.95,2.11178e-32
8,-8.09003e-33
8.05,-1.23644e-33
8.1,5.83137e-33
8.15,-6.50537e-33
8.2,4.72484e-33
8.25,-2.07842e-33
8.3,-1.52996e-34
8.35,1.32186e-33
8.4,-1.44716e-33
8.45,9.56826e-34
8.5,-3.38798e-34
8.55,-9.54428e-35
8.6,2.63631e-34
8.65,-2.36635e-34
8.7,1.30174e-34
8.75,-3.13022e-35
8.8,-2.37901e-35
8.85,3.74506e-35
8.9,-2.80137e-35
8.95,1.28783e-35
9,-1.6385e-36
9.05,-3.42535e-36
9.1,3.98079e-36
9.15,-2.57129e-36
9.2,1.00742e-36
9.25,-4.51357e-38
9.3,-2.87284e-37
9.35,2.50425e-37
9.4,-1.01516e-37
9.45,-1.52179e-38
9.5,6.1147e-38
9.55,-5.45335e-38
9.6,2.72065e-38
9.65,-2.03483e-39
9.7,-1.18926e-38
9.75,1.51703e-38
9.8,-1.2261e-38
9.85,7.48341e-39
9.9,-3.4091e-39
9.95,8.97113e-40
10,2.24264e-40
10.05,-4.85909e-40
10.1,3.73853e-40
10.15,-1.87035e-40
10.2,5.11105e-41
10.25,1.34474e-41
10.3,-2.86031e-41
10.35,2.1452e-41
10.4,-9.901e-42
10.45,1.62988e-42
10.5,2.14343e-42
10.55,-2.82564e-42
10.6,2.12958e-42
10.65,-1.18679e-42
10.7,4.8619e-43
10.75,-1.08653e-43
10.8,-3.45091e-44
10.85,5.61497e-44
10.9,-3.55854e-44
10.95,1.22075e-44
11,1.62766e-45
11.05,-6.36602e-45
11.1,6.0086e-45
11.15,-3.95631e-45
11.2,2.02011e-45
11.25,-7.72674e-46
11.3,1.5995e-46
11.35,5.65792e-47
11.4,-8.76427e-47
11.45,5.95849e-47
11.5,-2.81974e-47
11.55,8.95427e-48
11.6,-7.33905e-49
11.65,-1.3508e-48
11.7,1.10274e-48
11.75,-4.48066e-49
11.8,2.30959e-50
11.85,1.29055e-49
11.9,-1.28421e-49
11.95,7.98892e-50
12,-3.56941e-50
12.05,9.81246e-51
12.1,8.98049e-52
12.15,-3.28758e-51
12.2,2.52382e-51
12.25,-1.25e-51
12.3,3.69086e-52
12.35,4.22419e-53
12.4,-1.55708e-52
12.45,1.38554e-52
12.5,-8.80009e-53
12.55,4.87571e-53
12.6,-6.02309e-54
12.65,7.93582e-53
12.7,3.70915e-52
12.75,1.89327e-51
12.8,9.52715e-51
12.85,4.7423e-50
12.9,2.33571e-49
12.95,1.13815e-48
13,5.48682e-48
13.05,2.61675e-47
13.1,1.23455e-46
13.15,5.76158e-46
13.2,2.65976e-45
13.25,1.21449e-44
13.3,5.48495e-44
13.35,2.44999e-43
13.4,1.08229e-42
13.45,4.72818e-42
13.5,2.04264e-41
13.55,8.72601e-41
13.6,3.68589e-40
13.65,1.5394e-39
13.7,6.35645e-39
13.75,2.59484e-38
13.8,1.04717e-37
13.85,4.17736e-37
13.9,1.64719e-36
13.95,6.4197e-36
14,2.47279e-35
14.05,9.41309e-35
14.1,3.54096e-34
14.15,1.31621e-33
14.2,4.83406e-33
14.25,1.75409e-32
14.3,6.28799e-32
14.35,2.22668e-31
14.4,7.78858e-31
14.45,2.69077e-30
14.5,9.18074e-30
14.55,3.09332e-29
14.6,1.02915e-28
14.65,3.38069e-28
14.7,1.09638e-27
14.75,3.50999e-27
14.8,1.10917e-26
14.85,3.45936e-26
14.9,1.06477e-25
14.95,3.23391e-25
15,9.69106e-25
15.05,2.86508e-24
15.1,8.35557e-24
15.15,2.40347e-23
15.2,6.81824e-23
15.25,1.90733e-22
15.3,5.26074e-22
15.35,1.43047e-21
15.4,3.83412e-21
15.45,1.01286e-20
15.5,2.63679e-20
15.55,6.76362e-20
15.6,1.70924e-19
15.65,4.25486e-19
15.7,1.04319e-18
15.75,2.51871e-18
15.8,5.98773e-18
15.85,1.40138e-17
15.9,3.22848e-17
15.95,7.32025e-17
16,1.63336e-16
16.05,3.58601e-16
16.1,7.74575e-16
16.15,1.64586e-15
16.2,3.44004e-15
16.25,7.07217e-15
16.3,1.43006e-14
16.35,2.8444e-14
16.4,5.56561e-14
16.45,1.07159e-13
16.5,2.03106e-13
16.55,3.79216e-13
16.6,6.98201e-13
16.65,1.2697e-12
16.7,2.28612e-12
16.75,4.08987e-12
16.8,7.30661e-12
16.85,1.31239e-11
16.9,2.39021e-11
16.95,4.45561e-11
17,8.57419e-11
17.05,1.71251e-10
17.1,3.55148e-10
17.15,7.61204e-10
17.2,1.67269e-09
17.25,3.73419e-09
17.3,8.3985e-09
17.35,1.89011e-08
17.4,4.23497e-08
17.45,9.41273e-08
17.5,2.07006e-07
17.55,4.49665e-07
17.6,9.63589e-07
17.65,2.03516e-06
17.7,4.23363e-06
17.75,8.66953e-06
17.8,1.74682e-05
17.85,3.46169e-05
17.9,6.74453e-05
17.95,0.000129144
18,0.000242937
18.05,0.000448789
18.1,0.000813854
18.15,0.00144819
18.2,0.00252745
18.25,0.00432429
18.3,0.00724932
18.35,0.0119012
18.4,0.0191221
18.45,0.0300501
18.5,0.046154
18.55,0.0692275
18.6,0.101314
18.65,0.144527
18.7,0.200737
18.75,0.271112
18.8,0.355522
18.85,0.45188
18.9,0.555545
18.95,0.658964
19,0.751787
19.05,0.821651
19.1,0.855746
19.15,0.843109
19.2,0.77732
19.25,0.659028
19.3,0.497553
19.35,0.310806
19.4,0.123041
19.45,-0.0394887
19.5,-0.154212
19.55,-0.20783
19.6,-0.200064
19.65,-0.144099
19.7,-0.0631183
19.75,0.0163392
19.8,0.072201
19.85,0.0931852
19.9,0.0812905
19.95,0.0494867
20,0.0155542
20.05,-0.00533588
20.1,-0.00616746
20.15,0.010491
20.2,0.0354384
20.25,0.0583535
20.3,0.0729306
20.35,0.0791518
20.4,0.0819534
20.45,0.0875566
20.5,0.099854
20.55,0.118869
20.6,0.141785
20.65,0.165417
20.7,0.188312
20.75,0.211232
20.8,0.236072
20.85,0.264289
20.9,0.296027
20.95,0.330371
21,0.36626
21.05,0.403213
21.1,0.441382
21.15,0.481074
21.2,0.522261
21.25,0.564473
21.3,0.607057
21.35,0.649463
21.4,0.691332
21.45,0.732364
21.5,0.77216
21.55,0.810197
21.6,0.845919
21.65,0.878832
21.7,0.908521
21.75,0.934611
21.8,0.956732
21.85,0.974541
21.9,0.987756
21.95,0.996174
22,0.999672
22.05,0.998192
22.1,0.991743
22.15,0.980406
22.2,0.964339
22.25,0.943773
22.3,0.918999
22.35,0.890364
22.4,0.858261
22.45,0.823127
22.5,0.785424
22.55,0.745638
22.6,0.704259
22.65,0.661778
22.7,0.618677
22.75,0.575415
22.8,0.532427
22.85,0.490111
22.9,0.448827
22.95,0.408893
23,0.37058
23.05,0.334109
23.1,0.299657
23.15,0.267352
23.2,0.237281
23.25,0.209486
23.3,0.183974
23.35,0.160716
23.4,0.139655
23.45,0.120711
23.5,0.103782
23.55,0.088751
23.6,0.0754916
23.65,0.0638692
23.7,0.0537458
23.75,0.0449833
23.8,0.0374462
23.85,0.0310031
23.9,0.0255292
23.95,0.0209074
24,0.0170288
24.05,0.0137938
24.1,0.011112
24.15,0.00890228
24.2,0.00709262
24.25,0.00561953
24.3,0.00442766
24.35,0.00346914
24.4,0.00270294
24.45,0.00209416
24.5,0.00161337
24.55,0.00123596
24.6,0.000941472
24.65,0.000713083
24.7,0.000537023
24.75,0.000402122
24.8,0.000299383
24.85,0.000221611
24.9,0.000163096
24.95,0.000119336
25,8.68107e-05
