x,u
0,9.1196e-05
0.05,6.70548e-05
0.1,4.90584e-05
0.15,3.57128e-05
0.2,2.58681e-05
0.25,1.86437e-05
0.3,1.337e-05
0.35,9.54016e-06
0.4,6.77345e-06
0.45,4.78512e-06
0.5,3.3636e-06
0.55,2.35258e-06
0.6,1.63724e-06
0.65,1.13373e-06
0.7,7.81149e-07
0.75,5.35535e-07
0.8,3.65317e-07
0.85,2.4796e-07
0.9,1.67464e-07
0.95,1.12535e-07
1,7.52462e-08
1.05,5.00622e-08
1.1,3.31408e-08
1.15,2.18296e-08
1.2,1.43072e-08
1.25,9.33029e-09
1.3,6.05428e-09
1.35,3.90894e-09
1.4,2.51121e-09
1.45,1.60523e-09
1.5,1.02098e-09
1.55,6.46143e-10
1.6,4.06881e-10
1.65,2.54938e-10
1.7,1.58939e-10
1.75,9.85951e-11
1.8,6.08567e-11
1.85,3.73757e-11
1.9,2.28402e-11
1.95,1.38879e-11
2,8.40243e-12
2.05,5.05825e-12
2.1,3.02987e-12
2.15,1.80583e-12
2.2,1.07092e-12
2.25,6.31929e-13
2.3,3.71028e-13
2.35,2.16757e-13
2.4,1.25999e-13
2.45,7.28772e-14
2.5,4.19415e-14
2.55,2.40173e-14
2.6,1.36847e-14
2.65,7.7584e-15
2.7,4.37662e-15
2.75,2.4566e-15
2.8,1.37201e-15
2.85,7.62446e-16
2.9,4.21589e-16
2.95,2.31952e-16
3,1.2698e-16
3.05,6.91675e-17
3.1,3.74884e-17
3.15,2.02172e-17
3.2,1.08486e-17
3.25,5.79231e-18
3.3,3.07724e-18
3.35,1.62666e-18
3.4,8.55586e-19
3.45,4.47773e-19
3.5,2.33174e-19
3.55,1.20818e-19
3.6,6.22891e-20
3.65,3.19537e-20
3.7,1.63101e-20
3.75,8.28368e-21
3.8,4.18617e-21
3.85,2.10494e-21
3.9,1.05315e-21
3.95,5.24289e-22
4,2.59704e-22
4.05,1.28002e-22
4.1,6.27741e-23
4.15,3.06319e-23
4.2,1.48729e-23
4.25,7.18534e-24
4.3,3.45403e-24
4.35,1.65209e-24
4.4,7.86268e-25
4.45,3.72336e-25
4.5,1.7544e-25
4.55,8.22528e-26
4.6,3.83708e-26
4.65,1.78107e-26
4.7,8.22598e-27
4.75,3.78028e-27
4.8,1.72858e-27
4.85,7.86469e-28
4.9,3.56043e-28
4.95,1.60381e-28
5,7.18839e-29
5.05,3.20582e-29
5.1,1.42257e-29
5.15,6.28115e-30
5.2,2.75951e-30
5.25,1.20629e-30
5.3,5.2469e-31
5.35,2.27081e-31
5.4,9.77886e-32
5.45,4.19009e-32
5.5,1.78644e-32
5.55,7.57845e-33
5.6,3.1989e-33
5.65,1.34354e-33
5.7,5.61473e-34
5.75,2.33472e-34
5.8,9.65985e-35
5.85,3.9768e-35
5.9,1.62902e-35
5.95,6.63968e-36
6,2.69275e-36
6.05,1.08661e-36
6.1,4.36295e-37
6.15,1.74307e-37
6.2,6.92912e-38
6.25,2.74076e-38
6.3,1.07868e-38
6.35,4.22415e-39
6.4,1.64595e-39
6.45,6.3815e-40
6.5,2.46183e-40
6.55,9.44975e-41
6.6,3.60921e-41
6.65,1.37161e-41
6.7,5.18658e-42
6.75,1.95145e-42
6.8,7.30573e-43
6.85,2.72143e-43
6.9,1.0087e-43
6.95,3.72008e-44
7,1.36512e-44
7.05,4.98448e-45
7.1,1.81091e-45
7.15,6.54639e-46
7.2,2.3547e-46
7.25,8.42749e-47
7.3,3.00116e-47
7.35,1.06343e-47
7.4,3.74936e-48
7.45,1.31533e-48
7.5,4.59133e-49
7.55,1.59467e-49
7.6,5.51105e-50
7.65,1.89507e-50
7.7,6.48401e-51
7.75,2.20745e-51
7.8,7.4777e-52
7.85,2.52042e-52
7.9,8.4529e-53
7.95,2.82077e-53
8,9.36608e-54
8.05,3.0944e-54
8.1,1.01724e-54
8.15,3.32736e-55
8.2,1.08294e-55
8.25,3.50701e-56
8.3,1.13005e-56
8.35,3.62317e-57
8.4,1.15587e-57
8.45,3.66906e-58
8.5,1.15886e-58
8.55,3.64195e-59
8.6,1.13885e-59
8.65,3.54347e-60
8.7,1.09703e-60
8.75,3.37937e-61
8.8,1.03582e-61
8.85,3.15906e-62
8.9,9.58655e-63
8.95,2.89464e-63
9,8.69672e-64
9.05,2.59983e-64
9.1,7.73326e-65
9.15,2.28881e-65
9.2,6.74038e-66
9.25,1.97509e-66
9.3,5.75864e-67
9.35,1.67063e-67
9.4,4.82247e-68
9.45,1.38512e-68
9.5,3.95852e-69
9.55,1.12566e-69
9.6,3.18501e-70
9.65,8.96691e-71
9.7,2.51191e-71
9.75,7.00152e-72
9.8,1.94182e-72
9.85,5.35865e-73
9.9,1.4714e-73
9.95,4.02006e-74
10,1.09286e-74
10.05,2.95613e-75
10.1,7.95632e-76
10.15,2.13074e-76
10.2,5.67773e-77
10.25,1.50539e-77
10.3,3.97147e-78
10.35,1.04252e-78
10.4,2.72297e-79
10.45,7.0767e-80
10.5,1.82998e-80
10.55,4.70861e-81
10.6,1.2055e-81
10.65,3.07092e-82
10.7,7.78394e-83
10.75,1.96317e-83
10.8,4.92659e-84
10.85,1.23016e-84
10.9,3.05639e-85
10.95,7.55582e-86
11,1.85859e-86
11.05,4.54898e-87
11.1,1.10783e-87
11.15,2.68448e-88
11.2,6.47257e-89
11.25,1.55282e-89
11.3,3.70676e-90
11.35,8.80433e-91
11.4,2.08078e-91
11.45,4.89311e-92
11.5,1.14491e-92
11.55,2.66556e-93
11.6,6.17494e-94
11.65,1.42333e-94
11.7,3.26443e-95
11.75,7.44966e-96
11.8,1.69159e-96
11.85,3.82192e-97
11.9,8.59207e-98
11.95,1.92195e-98
12,4.27774e-99
12.05,9.4736e-100
12.1,2.08759e-100
12.15,4.57723e-101
12.2,9.98595e-102
12.25,2.16773e-102
12.3,4.68218e-103
12.35,1.00628e-103
12.4,2.1519e-104
12.45,4.57879e-105
12.5,9.69412e-106
12.55,2.04218e-106
12.6,4.28065e-107
12.65,8.92798e-108
12.7,1.85279e-108
12.75,3.82583e-109
12.8,7.86058e-110
12.85,1.60699e-110
12.9,3.26887e-111
12.95,6.61626e-112
13,1.33246e-112
13.05,2.6701e-113
13.1,5.32387e-114
13.15,1.05622e-114
13.2,2.08504e-115
13.25,4.09543e-116
13.3,8.00412e-117
13.35,1.55653e-117
13.4,3.01181e-118
13.45,5.79866e-119
13.5,1.11085e-119
13.55,2.11745e-120
13.6,4.01604e-121
13.65,7.579e-122
13.7,1.42316e-122
13.75,2.65904e-123
13.8,4.94339e-124
13.85,9.14435e-125
13.9,1.6831e-125
13.95,3.08244e-126
14,5.61705e-127
14.05,1.01848e-127
