x,y
-0.999,0.0386154
-0.998,0.0387692
-0.997,0.0389231
-0.996,0.0390769
-0.995,0.0392308
-0.994,0.0393846
-0.993,0.0395385
-0.992,0.0396923
-0.991,0.0398462
-0.99,0.04
-0.989,0.0401538
-0.988,0.0403077
-0.987,0.0404615
-0.986,0.0406154
-0.985,0.0407692
-0.984,0.0409231
-0.983,0.0410769
-0.982,0.0412308
-0.981,0.0413846
-0.98,0.0415385
-0.979,0.0416923
-0.978,0.0418462
-0.977,0.042
-0.976,0.0421538
-0.975,0.0423077
-0.974,0.0424615
-0.973,0.0426154
-0.972,0.0427692
-0.971,0.0429231
-0.97,0.0430769
-0.969,0.0432308
-0.968,0.0433846
-0.967,0.0435385
-0.966,0.0436923
-0.965,0.0438462
-0.964,0.044
-0.963,0.0441538
-0.962,0.0443077
-0.961,0.0444615
-0.96,0.0446154
-0.959,0.0447692
-0.958,0.0449231
-0.957,0.0450769
-0.956,0.0452308
-0.955,0.0453846
-0.954,0.0455385
-0.953,0.0456923
-0.952,0.0458462
-0.951,0.046
-0.95,0.0461538
-0.949,0.0463077
-0.948,0.0464615
-0.947,0.0466154
-0.946,0.0467692
-0.945,0.0469231
-0.944,0.0470769
-0.943,0.0472308
-0.942,0.0473846
-0.941,0.0475385
-0.94,0.0476923
-0.939,0.0478462
-0.938,0.048
-0.937,0.0481538
-0.936,0.0483077
-0.935,0.0484615
-0.934,0.0486154
-0.933,0.0487692
-0.932,0.0489231
-0.931,0.0490769
-0.93,0.0492308
-0.929,0.0493846
-0.928,0.0495385
-0.927,0.0496923
-0.926,0.0498462
-0.925,0.05
-0.924,0.0501538
-0.923,0.0503077
-0.922,0.0504615
-0.921,0.0506154
-0.92,0.0507692
-0.919,0.0509231
-0.918,0.0510769
-0.917,0.0512308
-0.916,0.0513846
-0.915,0.0515385
-0.914,0.0516923
-0.913,0.0518462
-0.912,0.052
-0.911,0.0521538
-0.91,0.0523077
-0.909,0.0524615
-0.908,0.0526154
-0.907,0.0527692
-0.906,0.0529231
-0.905,0.0530769
-0.904,0.0532308
-0.903,0.0533846
-0.902,0.0535385
-0.901,0.0536923
-0.9,0.0538462
-0.899,0.054
-0.898,0.0541538
-0.897,0.0543077
-0.896,0.0544615
-0.895,0.0546154
-0.894,0.0547692
-0.893,0.0549231
-0.892,0.0550769
-0.891,0.0552308
-0.89,0.0553846
-0.889,0.0555385
-0.888,0.0556923
-0.887,0.0558462
-0.886,0.056
-0.885,0.0561538
-0.884,0.0563077
-0.883,0.0564615
-0.882,0.0566154
-0.881,0.0567692
-0.88,0.0569231
-0.879,0.0570769
-0.878,0.0572308
-0.877,0.0573846
-0.876,0.0575385
-0.875,0.0576923
-0.874,0.0578462
-0.873,0.058
-0.872,0.0581538
-0.871,0.0583077
-0.87,0.0584615
-0.869,0.0586154
-0.868,0.0587692
-0.867,0.0589231
-0.866,0.0590769
-0.865,0.0592308
-0.864,0.0593846
-0.863,0.0595385
-0.862,0.0596923
-0.861,0.0598462
-0.86,0.06
-0.859,0.0601538
-0.858,0.0603077
-0.857,0.0604615
-0.856,0.0606154
-0.855,0.0607692
-0.854,0.0609231
-0.853,0.0610769
-0.852,0.0612308
-0.851,0.0613846
-0.85,0.0615385
-0.849,0.0616923
-0.848,0.0618462
-0.847,0.062
-0.846,0.0621538
-0.845,0.0623077
-0.844,0.0624615
-0.843,0.0626154
-0.842,0.0627692
-0.841,0.0629231
-0.84,0.0630769
-0.839,0.0632308
-0.838,0.0633846
-0.837,0.0635385
-0.836,0.0636923
-0.835,0.0638462
-0.834,0.064
-0.833,0.0641538
-0.832,0.0643077
-0.831,0.0644615
-0.83,0.0646154
-0.829,0.0647692
-0.828,0.0649231
-0.827,0.0650769
-0.826,0.0652308
-0.825,0.0653846
-0.824,0.0655385
-0.823,0.0656923
-0.822,0.0658462
-0.821,0.066
-0.82,0.0661538
-0.819,0.0663077
-0.818,0.0664615
-0.817,0.0666154
-0.816,0.0667692
-0.815,0.0669231
-0.814,0.0670769
-0.813,0.0672308
-0.812,0.0673846
-0.811,0.0675385
-0.81,0.0676923
-0.809,0.0678462
-0.808,0.068
-0.807,0.0681538
-0.806,0.0683077
-0.805,0.0684615
-0.804,0.0686154
-0.803,0.0687692
-0.802,0.0689231
-0.801,0.0690769
-0.8,0.0692308
-0.799,0.0693846
-0.798,0.0695385
-0.797,0.0696923
-0.796,0.0698462
-0.795,0.07
-0.794,0.0701538
-0.793,0.0703077
-0.792,0.0704615
-0.791,0.0706154
-0.79,0.0707692
-0.789,0.0709231
-0.788,0.0710769
-0.787,0.0712308
-0.786,0.0713846
-0.785,0.0715385
-0.784,0.0716923
-0.783,0.0718462
-0.782,0.072
-0.781,0.0721538
-0.78,0.0723077
-0.779,0.0724615
-0.778,0.0726154
-0.777,0.0727692
-0.776,0.0729231
-0.775,0.0730769
-0.774,0.0732308
-0.773,0.0733846
-0.772,0.0735385
-0.771,0.0736923
-0.77,0.0738462
-0.769,0.074
-0.768,0.0741538
-0.767,0.0743077
-0.766,0.0744615
-0.765,0.0746154
-0.764,0.0747692
-0.763,0.0749231
-0.762,0.0750769
-0.761,0.0752308
-0.76,0.0753846
-0.759,0.0755385
-0.758,0.0756923
-0.757,0.0758462
-0.756,0.076
-0.755,0.0761538
-0.754,0.0763077
-0.753,0.0764615
-0.752,0.0766154
-0.751,0.0767692
-0.75,0.0769231
-0.749,0.0770769
-0.748,0.0772308
-0.747,0.0773846
-0.746,0.0775385
-0.745,0.0776923
-0.744,0.0778462
-0.743,0.078
-0.742,0.0781538
-0.741,0.0783077
-0.74,0.0784615
-0.739,0.0786154
-0.738,0.0787692
-0.737,0.0789231
-0.736,0.0790769
-0.735,0.0792308
-0.734,0.0793846
-0.733,0.0795385
-0.732,0.0796923
-0.731,0.0798462
-0.73,0.08
-0.729,0.0801538
-0.728,0.0803077
-0.727,0.0804615
-0.726,0.0806154
-0.725,0.0807692
-0.724,0.0809231
-0.723,0.0810769
-0.722,0.0812308
-0.721,0.0813846
-0.72,0.0815385
