x,y
-0.999,0.0385376
-0.998,0.0386139
-0.997,0.0386905
-0.996,0.0387672
-0.995,0.0388441
-0.994,0.0389213
-0.993,0.0389986
-0.992,0.0390762
-0.991,0.039154
-0.99,0.0392321
-0.989,0.0393103
-0.988,0.0393888
-0.987,0.0394674
-0.986,0.0395463
-0.985,0.0396254
-0.984,0.0397048
-0.983,0.0397843
-0.982,0.0398641
-0.981,0.0399441
-0.98,0.0400243
-0.979,0.0401048
-0.978,0.0401855
-0.977,0.0402664
-0.976,0.0403475
-0.975,0.0404289
-0.974,0.0405105
-0.973,0.0405923
-0.972,0.0406743
-0.971,0.0407566
-0.97,0.0408391
-0.969,0.0409219
-0.968,0.0410048
-0.967,0.041088
-0.966,0.0411715
-0.965,0.0412552
-0.964,0.0413391
-0.963,0.0414232
-0.962,0.0415076
-0.961,0.0415922
-0.96,0.0416771
-0.959,0.0417622
-0.958,0.0418475
-0.957,0.0419331
-0.956,0.0420189
-0.955,0.042105
-0.954,0.0421913
-0.953,0.0422778
-0.952,0.0423646
-0.951,0.0424517
-0.95,0.042539
-0.949,0.0426265
-0.948,0.0427143
-0.947,0.0428023
-0.946,0.0428906
-0.945,0.0429791
-0.944,0.0430679
-0.943,0.0431569
-0.942,0.0432462
-0.941,0.0433357
-0.94,0.0434255
-0.939,0.0435155
-0.938,0.0436058
-0.937,0.0436963
-0.936,0.0437871
-0.935,0.0438782
-0.934,0.0439695
-0.933,0.0440611
-0.932,0.0441529
-0.931,0.044245
-0.93,0.0443373
-0.929,0.0444299
-0.928,0.0445228
-0.927,0.0446159
-0.926,0.0447093
-0.925,0.044803
-0.924,0.0448969
-0.923,0.0449911
-0.922,0.0450856
-0.921,0.0451803
-0.92,0.0452753
-0.919,0.0453705
-0.918,0.045466
-0.917,0.0455618
-0.916,0.0456579
-0.915,0.0457542
-0.914,0.0458508
-0.913,0.0459477
-0.912,0.0460448
-0.911,0.0461423
-0.91,0.04624
-0.909,0.0463379
-0.908,0.0464362
-0.907,0.0465347
-0.906,0.0466335
-0.905,0.0467326
-0.904,0.0468319
-0.903,0.0469316
-0.902,0.0470315
-0.901,0.0471317
-0.9,0.0472321
-0.899,0.0473329
-0.898,0.0474339
-0.897,0.0475353
-0.896,0.0476369
-0.895,0.0477388
-0.894,0.0478409
-0.893,0.0479434
-0.892,0.0480462
-0.891,0.0481492
-0.89,0.0482525
-0.889,0.0483562
-0.888,0.0484601
-0.887,0.0485643
-0.886,0.0486688
-0.885,0.0487735
-0.884,0.0488786
-0.883,0.048984
-0.882,0.0490896
-0.881,0.0491956
-0.88,0.0493019
-0.879,0.0494084
-0.878,0.0495153
-0.877,0.0496224
-0.876,0.0497298
-0.875,0.0498376
-0.874,0.0499456
-0.873,0.050054
-0.872,0.0501626
-0.871,0.0502716
-0.87,0.0503808
-0.869,0.0504904
-0.868,0.0506002
-0.867,0.0507104
-0.866,0.0508209
-0.865,0.0509316
-0.864,0.0510427
-0.863,0.0511541
-0.862,0.0512658
-0.861,0.0513778
-0.86,0.0514901
-0.859,0.0516028
-0.858,0.0517157
-0.857,0.0518289
-0.856,0.0519425
-0.855,0.0520564
-0.854,0.0521706
-0.853,0.0522851
-0.852,0.0523999
-0.851,0.0525151
-0.85,0.0526305
-0.849,0.0527463
-0.848,0.0528624
-0.847,0.0529788
-0.846,0.0530955
-0.845,0.0532126
-0.844,0.0533299
-0.843,0.0534476
-0.842,0.0535657
-0.841,0.053684
-0.84,0.0538027
-0.839,0.0539217
-0.838,0.054041
-0.837,0.0541606
-0.836,0.0542806
-0.835,0.0544009
-0.834,0.0545215
-0.833,0.0546425
-0.832,0.0547638
-0.831,0.0548854
-0.83,0.0550073
-0.829,0.0551296
-0.828,0.0552522
-0.827,0.0553752
-0.826,0.0554985
-0.825,0.0556221
-0.824,0.055746
-0.823,0.0558703
-0.822,0.055995
-0.821,0.0561199
-0.82,0.0562452
-0.819,0.0563709
-0.818,0.0564969
-0.817,0.0566232
-0.816,0.0567499
-0.815,0.0568769
-0.814,0.0570042
-0.813,0.0571319
-0.812,0.0572599
-0.811,0.0573883
-0.81,0.0575171
-0.809,0.0576461
-0.808,0.0577756
-0.807,0.0579053
-0.806,0.0580354
-0.805,0.0581659
-0.804,0.0582967
-0.803,0.0584279
-0.802,0.0585594
-0.801,0.0586913
-0.8,0.0588235
-0.799,0.0589561
-0.798,0.0590891
-0.797,0.0592224
-0.796,0.059356
-0.795,0.0594901
-0.794,0.0596245
-0.793,0.0597593
-0.792,0.0598946
-0.791,0.0600302
-0.79,0.0601662
-0.789,0.0603026
-0.788,0.0604395
-0.787,0.0605767
-0.786,0.0607144
-0.785,0.0608526
-0.784,0.0609912
-0.783,0.0611302
-0.782,0.0612696
-0.781,0.0614096
-0.78,0.0615499
-0.779,0.0616908
-0.778,0.0618321
-0.777,0.0619739
-0.776,0.0621162
-0.775,0.062259
-0.774,0.0624023
-0.773,0.0625461
-0.772,0.0626904
-0.771,0.0628352
-0.77,0.0629805
-0.769,0.0631263
-0.768,0.0632727
-0.767,0.0634196
-0.766,0.0635671
-0.765,0.0637151
-0.764,0.0638637
-0.763,0.0640128
-0.762,0.0641625
-0.761,0.0643127
-0.76,0.0644636
-0.759,0.064615
-0.758,0.064767
-0.757,0.0649196
-0.756,0.0650728
-0.755,0.0652266
-0.754,0.065381
-0.753,0.065536
-0.752,0.0656917
-0.751,0.0658479
-0.75,0.0660049
-0.749,0.0661624
-0.748,0.0663206
-0.747,0.0664795
-0.746,0.066639
-0.745,0.0667991
-0.744,0.06696
-0.743,0.0671215
-0.742,0.0672837
-0.741,0.0674465
-0.74,0.0676101
-0.739,0.0677744
-0.738,0.0679393
-0.737,0.068105
-0.736,0.0682714
-0.735,0.0684385
-0.734,0.0686063
-0.733,0.0687749
-0.732,0.0689442
-0.731,0.0691142
-0.73,0.069285
-0.729,0.0694566
-0.728,0.0696289
-0.727,0.0698019
-0.726,0.0699758
-0.725,0.0701504
-0.724,0.0703258
-0.723,0.070502
-0.722,0.070679
-0.721,0.0708567
-0.72,0.0710353
-0.719,0.0712147
-0.718,0.0713949
-0.717,0.071576
-0.716,0.0717578
-0.715,0.0719405
-0.714,0.0721241
-0.713,0.0723085
-0.712,0.0724937
-0.711,0.0726798
-0.71,0.0728667
-0.709,0.0730545
-0.708,0.0732432
-0.707,0.0734328
-0.706,0.0736233
-0.705,0.0738146
-0.704,0.0740069
-0.703,0.0742
-0.702,0.0743941
-0.701,0.0745891
-0.7,0.0747849
-0.699,0.0749818
-0.698,0.0751795
-0.697,0.0753782
-0.696,0.0755778
-0.695,0.0757784
-0.694,0.0759799
-0.693,0.0761824
-0.692,0.0763859
-0.691,0.0765903
-0.69,0.0767957
-0.689,0.0770021
-0.688,0.0772095
-0.687,0.0774178
-0.686,0.0776272
-0.685,0.0778376
-0.684,0.078049
-0.683,0.0782614
-0.682,0.0784748
-0.681,0.0786892
-0.68,0.0789047
-0.679,0.0791212
-0.678,0.0793388
-0.677,0.0795574
-0.676,0.0797771
-0.675,0.0799979
-0.674,0.0802197
-0.673,0.0804425
-0.672,0.0806665
-0.671,0.0808916
-0.67,0.0811177
-0.669,0.0813449
-0.668,0.0815733
-0.667,0.0818027
-0.666,0.0820333
-0.665,0.082265
-0.664,0.0824978
-0.663,0.0827317
-0.662,0.0829668
-0.661,0.083203
-0.66,0.0834404
-0.659,0.0836789
-0.658,0.0839186
-0.657,0.0841594
-0.656,0.0844014
-0.655,0.0846446
-0.654,0.084889
-0.653,0.0851346
-0.652,0.0853813
-0.651,0.0856293
-0.65,0.0858784
-0.649,0.0861288
-0.648,0.0863804
-0.647,0.0866332
-0.646,0.0868873
-0.645,0.0871425
-0.644,0.0873991
-0.643,0.0876568
-0.642,0.0879158
-0.641,0.0881761
-0.64,0.0884376
-0.639,0.0887004
-0.638,0.0889645
-0.637,0.0892299
-0.636,0.0894965
-0.635,0.0897644
-0.634,0.0900337
-0.633,0.0903042
-0.632,0.0905761
-0.631,0.0908492
-0.63,0.0911237
-0.629,0.0913995
-0.628,0.0916766
-0.627,0.0919551
-0.626,0.0922349
-0.625,0.092516
-0.624,0.0927986
-0.623,0.0930824
-0.622,0.0933677
-0.621,0.0936543
-0.62,0.0939423
-0.619,0.0942316
-0.618,0.0945224
-0.617,0.0948146
-0.616,0.0951081
-0.615,0.0954031
-0.614,0.0956994
-0.613,0.0959972
-0.612,0.0962964
-0.611,0.0965971
-0.61,0.0968991
-0.609,0.0972027
-0.608,0.0975076
-0.607,0.097814
-0.606,0.0981219
-0.605,0.0984312
-0.604,0.098742
-0.603,0.0990543
-0.602,0.099368
-0.601,0.0996833
-0.6,0.1
-0.599,0.100318
-0.598,0.100638
-0.597,0.100959
-0.596,0.101282
-0.595,0.101606
-0.594,0.101932
-0.593,0.102259
-0.592,0.102588
-0.591,0.102919
-0.59,0.10325
-0.589,0.103584
-0.588,0.103919
-0.587,0.104255
-0.586,0.104594
-0.585,0.104933
-0.584,0.105275
-0.583,0.105617
-0.582,0.105962
-0.581,0.106308
-0.58,0.106655
-0.579,0.107005
-0.578,0.107356
-0.577,0.107708
-0.576,0.108062
-0.575,0.108418
-0.574,0.108775
-0.573,0.109134
-0.572,0.109494
-0.571,0.109856
-0.57,0.11022
-0.569,0.110586
-0.568,0.110953
-0.567,0.111321
-0.566,0.111692
-0.565,0.112064
-0.564,0.112438
-0.563,0.112813
-0.562,0.11319
-0.561,0.113569
-0.56,0.113949
-0.559,0.114331
-0.558,0.114715
-0.557,0.115101
-0.556,0.115488
-0.555,0.115877
-0.554,0.116268
-0.553,0.11666
-0.552,0.117054
-0.551,0.11745
-0.55,0.117848
-0.549,0.118247
-0.548,0.118648
-0.547,0.119051
-0.546,0.119456
-0.545,0.119862
-0.544,0.12027
-0.543,0.12068
-0.542,0.121092
-0.541,0.121505
-0.54,0.121921
-0.539,0.122338
-0.538,0.122756
-0.537,0.123177
-0.536,0.1236
-0.535,0.124024
-0.534,0.12445
-0.533,0.124878
-0.532,0.125308
-0.531,0.125739
-0.53,0.126173
-0.529,0.126608
-0.528,0.127045
-0.527,0.127484
-0.526,0.127925
-0.525,0.128367
-0.524,0.128812
-0.523,0.129258
-0.522,0.129707
-0.521,0.130157
-0.52,0.130609
-0.519,0.131063
-0.518,0.131519
-0.517,0.131976
-0.516,0.132436
-0.515,0.132897
-0.514,0.133361
-0.513,0.133826
-0.512,0.134294
-0.511,0.134763
-0.51,0.135234
-0.509,0.135707
-0.508,0.136182
-0.507,0.136659
-0.506,0.137138
-0.505,0.137619
-0.504,0.138102
-0.503,0.138587
