x,y
0.994,0
0.994,-3.9489e-05
0.994,-7.89823e-05
0.993999,-0.000118521
0.993999,-0.000158109
0.993998,-0.000197766
0.993998,-0.000237449
0.993997,-0.000277188
0.993996,-0.000316967
0.993995,-0.000356816
0.993994,-0.000396718
0.993992,-0.000436659
0.993991,-0.000476674
0.993989,-0.000516743
0.993988,-0.000556844
0.993986,-0.000597038
0.993984,-0.000637267
0.993982,-0.000677567
0.99398,-0.000717924
0.993977,-0.000758364
0.993975,-0.000798851
0.993972,-0.000839426
0.99397,-0.000880065
0.993967,-0.000920686
0.993964,-0.000961479
0.99396,-0.00100229
0.993957,-0.00104312
0.993954,-0.00108402
0.99395,-0.00112503
0.993946,-0.00116609
0.993943,-0.00120726
0.993939,-0.00124855
0.993934,-0.00128984
0.99393,-0.00133121
0.993926,-0.00137266
0.993921,-0.00141417
0.993917,-0.00145577
0.993912,-0.00149742
0.993907,-0.00153916
0.993902,-0.00158099
0.993896,-0.00162288
0.993891,-0.0016649
0.993885,-0.00170697
0.99388,-0.00174906
0.993874,-0.00179124
0.993868,-0.00183351
0.993861,-0.00187587
0.993855,-0.00191838
0.993849,-0.00196085
0.993842,-0.00200346
0.993835,-0.00204616
0.993828,-0.00208889
0.993821,-0.00213176
0.993814,-0.00217469
0.993806,-0.00221773
0.993799,-0.00226078
0.993791,-0.00230392
0.993783,-0.00234719
0.993775,-0.00239045
0.993767,-0.0024339
0.993758,-0.00247736
0.99375,-0.00252095
0.993741,-0.00256461
0.993732,-0.00260833
0.993723,-0.00265225
0.993714,-0.00269621
0.993704,-0.00274034
0.993695,-0.00278451
0.993685,-0.00282879
0.993675,-0.00287302
0.993665,-0.00291741
0.993655,-0.00296193
0.993644,-0.0030065
0.993634,-0.00305119
0.993623,-0.00309593
0.993612,-0.00314082
0.993601,-0.00318583
0.993589,-0.00323088
0.993578,-0.00327594
0.993566,-0.00332113
0.993554,-0.00336645
0.993542,-0.00341187
0.99353,-0.00345732
0.993517,-0.003503
0.993504,-0.00354869
0.993492,-0.0035944
0.993479,-0.00364018
0.993465,-0.00368606
0.993452,-0.00373211
0.993438,-0.00377811
0.993425,-0.00382429
0.99341,-0.00387077
0.993396,-0.00391703
0.993382,-0.00396352
0.993367,-0.00400999
