x,y
0.994,0
0.993995,-0.000341492
0.993837,-0.00203203
0.993349,-0.00406773
0.99247,-0.00623886
0.991157,-0.00851168
0.989398,-0.0108395
0.987153,-0.013233
0.98433,-0.0157376
0.980803,-0.01839
0.976404,-0.0212228
0.970902,-0.0242642
0.963978,-0.0275285
0.955201,-0.0309972
0.943974,-0.0345807
0.929467,-0.0380441
0.910505,-0.0408565
0.885395,-0.0418841
0.851649,-0.038765
0.805376,-0.0265926
0.739839,0.00496611
0.647449,0.0722306
0.542561,0.165154
0.427879,0.264513
0.305036,0.353274
0.179237,0.421834
0.0578972,0.468814
-0.0594842,0.499893
-0.176707,0.520822
-0.293695,0.536504
-0.403685,0.552576
-0.502099,0.575727
-0.586823,0.613162
-0.652101,0.67187
-0.687153,0.756095
-0.678553,0.861943
-0.617758,0.974115
-0.502591,1.07357
-0.342847,1.1343
-0.176972,1.13381
-0.0499174,1.07801
0.0196165,0.986897
0.0259071,0.87971
-0.0234865,0.770566
-0.112521,0.661405
-0.223703,0.546235
-0.335783,0.422204
-0.429579,0.295802
-0.499696,0.175714
-0.553247,0.0605353
-0.597883,-0.0541568
-0.639603,-0.168463
-0.683973,-0.27491
-0.73684,-0.363885
-0.804642,-0.428676
-0.89109,-0.459672
-0.992369,-0.445224
-1.09482,-0.379082
-1.18405,-0.258389
-1.23801,-0.089544
-1.2357,0.103248
-1.1746,0.275646
-1.07174,0.398815
-0.949973,0.456892
-0.835817,0.444917
-0.746373,0.375425
-0.678405,0.262616
-0.62161,0.119178
-0.562302,-0.0387458
-0.49234,-0.18978
-0.415652,-0.316542
-0.335071,-0.42297
-0.250052,-0.518452
-0.161672,-0.609757
-0.0789888,-0.698337
-0.0150897,-0.783076
0.0234726,-0.868123
0.0287336,-0.954346
-0.00732032,-1.03621
-0.0887202,-1.10301
-0.214068,-1.13975
-0.367228,-1.12906
-0.520312,-1.06213
-0.63688,-0.947557
-0.687698,-0.815467
-0.667904,-0.698767
-0.592175,-0.617271
-0.475242,-0.568434
-0.329181,-0.541482
-0.167768,-0.519659
-0.00749052,-0.487721
0.138743,-0.439457
0.262911,-0.378653
0.370198,-0.308761
0.468353,-0.230621
0.561822,-0.147373
0.649399,-0.070158
0.7337,-0.0081505
0.81932,0.0317952
0.863716,0.0410702
0.886973,0.0425179
